user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
stef_alba,"Emblematic of questionable choices universities sometimes make to secure funding. With more competitively and reliable public sources of funds, this would not happen #research #funding #epstein #MITMediaLab M.I.T. Media Lab in Crisis  Over Epstein Ties https://t.co/WKsbJ5Pnzk",2019-08-22T02:03:11.000Z,https://t.co/6nXDtDAJLu,Stefania Albanesi,"Pittsburgh, PA",false,1,1,0,1,0,-1
megwatzke,"""Jeffrey Epstein Donations to M.I.T. Will Be Focus of University Inquiry"" https://t.co/qwRfrsVYhX",2019-08-23T13:05:09.000Z,https://t.co/AIO6O9ll08,megwatzke,"Seattle, WA",false,1,1,0,1,0,-1
nytimesbusiness,"The director of M.I.T.'s Media Lab pledged to raise the same amount of money the school received from Jeffrey Epstein and give it to ""nonprofits that focus on supporting survivors of trafficking."" https://t.co/0jJTA5ZWQL",2019-08-18T09:34:03.000Z,http://t.co/OKrfdBy4ch,NYT Business,"New York, NY",true,2,1,0,0,-1,-2
mortgageconsult,Director of M.I.T. Media Lab Apologizes for Ties to Jeffrey Epstein https://t.co/0xzp3epmVd,2019-08-18T13:35:25.000Z,,Pam #Truth #MaskUpSTILL, USA,false,2,1,0,0,-1,-2
BrassBallsBlog,Director of M.I.T. Media Lab Apologizes for Ties to Jeffrey Epstein https://t.co/VKDXr1IoIQ,2019-08-21T14:00:45.000Z,https://t.co/2krVfE2pcz,Harry the Greek,United States,false,2,3,0,2,-1,-2
Andrew_Campling,The Famous M.I.T. Media Lab is in Crisis After 2 Scholars Vow to Leave Over its Jeffrey Epstein Ties https://t.co/kx8sMLgTTc,2019-08-22T11:30:28.000Z,https://t.co/Ylt4ISFniA,Andrew Campling,London,false,2,1,0,0,-1,-2
15MinuteNewsBus,Jeffrey Epstein Donations to M.I.T. Will Be Focus of University Inquiry https://t.co/DZl7TgD8Ja #Business,2019-08-23T03:33:19.000Z,https://t.co/pDskiOASfC,Business News,NA,false,1,1,0,0,-1,-1
coffeeownsme,M.I.T. will investigate Jeffrey Epstein's donations to the university and its Media Lab... (NYT),2019-08-23T11:44:38.000Z,,Carolina Ron,BLUE in a Red County in NC!,false,1,1,0,0,-1,-1
GenoEu,Jeffrey Epstein Donations to M.I.T. Will Be Focus of University Inquiry https://t.co/oahaI8hyXz,2019-08-23T13:21:40.000Z,,Eugene Peterson,NA,false,1,1,0,0,-1,-1
dogpoopelosi1,Two MIT Media Lab Educators to Leave Over Institute’s Ties to Epstein https://t.co/IVC5PxAZ5W via @epochtimes,2019-08-24T23:13:08.000Z,,Nancy,"Maryland, USA",false,2,1,2,0,-1,0
shi000ma,Director of M.I.T. Media Lab Apologizes for Ties to Jeffrey Epstein https://t.co/D36mfntIlU,2019-08-25T06:01:20.000Z,https://t.co/Yoz91gKubf,ポプ🥃@非暴力☆不服従,☤,false,1,1,0,0,-1,-1
me_anjel1992,"Thread by @xanono2: ""Aaron Swartz downloaded a bunch of files from M.I.T Media Lab servers. Jeffrey Epstein donated to the lab where Swartz found the files. Is i […]"" https://t.co/er702reE9m",2019-08-25T14:51:02.000Z,,Anjel1992,NA,false,1,1,0,0,-1,-1
JeromeElam,M.I.T. Media Lab Director: I’m ‘Deeply Sorry’ for Ties to Jeffrey Epstein @BoysAreNot4Sale #everyvictimmatters #MonstersHidingInPlainSight #ListenToSurvivors #EndTrafficking #AbolishSlavery #TuesdayThoughts  https://t.co/kwSiJNinOn,2019-08-27T12:19:59.000Z,https://t.co/28GuQa32l4,Jerome Elam,United States,false,2,1,0,0,-1,-2
dealbook,"The M.I.T. Media Lab “attracted edgy people,” said Nicholas Negroponte, an architect who helped found it in 1985. “Some were scoundrels.” https://t.co/cwUmWOHHGR",2019-09-06T01:59:04.000Z,http://t.co/pLYLk4P6xz,DealBook,"New York, NY",true,2,2,0,1,-1,-2
hackernewsj,ジェフリーエプスタインの寄付により、M.I.T。のメディアラボで分裂が起こる https://t.co/7VTLwxzmEb,2019-09-06T02:50:08.000Z,,Hacker News記事題日本語翻訳,"Tokyo-to, Japan",false,1,1,0,0,-1,-1
nytimesbusiness,"The M.I.T. Media Lab “attracted edgy people,” said Nicholas Negroponte, an architect who helped found it in 1985. “Some were scoundrels.” https://t.co/HS4qcXEyQO",2019-09-06T07:26:04.000Z,http://t.co/OKrfdBy4ch,NYT Business,"New York, NY",true,4,1,0,0,-1,-4
dealbook,"Joichi Ito, who helped the M.I.T. Media Lab raise at least $50 million, revealed that he had accepted $525,000 from Jeffrey Epstein for the lab and $1.2 million for his own investment funds https://t.co/utEQxGKX7f",2019-09-06T10:19:49.000Z,http://t.co/pLYLk4P6xz,DealBook,"New York, NY",true,1,2,0,1,-1,-1
dealbook,"Joichi Ito, the social creature and tech evangelist at the center of M.I.T.'s dealings with the disgraced financier Jeffrey Epstein, is struggling with the fallout https://t.co/HVuYY2snsD",2019-09-06T12:55:22.000Z,http://t.co/pLYLk4P6xz,DealBook,"New York, NY",true,2,1,0,0,-1,-2
margreis9,Jeffrey Epstein’s Donations Create a Schism at M.I.T.’s Revered Media Lab https://t.co/oh7F2Euo2J,2019-09-06T14:25:48.000Z,,Margaret Reis,"York, PA",false,2,1,0,0,-1,-2
nytimesbusiness,"Joichi Ito, the social creature and tech evangelist at the center of M.I.T.'s dealings with the disgraced financier Jeffrey Epstein, is struggling with the fallout https://t.co/gXYG4Qr2my",2019-09-06T16:15:02.000Z,http://t.co/OKrfdBy4ch,NYT Business,"New York, NY",true,1,1,0,0,-1,-1
SchoofsFeed,"Jeffrey Epstein’s Donations Create a Schism at M.I.T.’s Revered Media Lab 

“After I spent 1.5 hours apologizing and asking permission to make amends, you completely undermined me.” 

https://t.co/DRgdxNQVG6",2019-09-06T16:17:46.000Z,,Mark Schoofs,Always happy to talk. DMs open.,true,1,1,1,0,-1,0
eclectictalk,EXPOSED: Jeffrey Epstein Raised Millions for M.I.T. Media Lab As They Ignored His Child Sex Conviction https://t.co/sUFSduNYXC,2019-09-10T01:19:25.000Z,https://t.co/avN1gamGAF,Eclectic ️American 🇺🇸,"Colorado, USA",false,1,1,0,0,-1,-1
pmore_72,Brown University Puts Official Tied to Jeffrey Epstein’s M.I.T. Gifts on Leave https://t.co/nEM8Vd8wXN,2019-09-10T01:27:31.000Z,,Pablo More,Florida,false,1,1,0,0,-1,-1
