user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
JeremyVineOn5,"Is it churlish to cancel your Oxfam donations because of a few rotten apples? 7,000 have walked away since the Haiti sex scandal and the Government has withdrawn millions in funding just as workers head to Syria. Will you carry on giving, or save your cash for a better-run cause?",2018-02-21T07:12:42.000Z,https://t.co/AVLig9qLcb,Jeremy Vine On 5,"London, England",true,8,29,3,102,73,-5
LBC,"Thousands have canceled donations to Oxfam, and ex-Save The Children boss, Justin Forsyth, has ""apologised unreservedly"" to the three workers - are you surprised this scandal has hit the charity sector? https://t.co/di55SGxKRJ",2018-02-21T07:05:23.000Z,https://t.co/fI8exPioWw,LBC,United Kingdom,true,8,13,8,58,45,0
ADnl,"Hulporganisaties, waaronder ook Oxfam, werden in 2008 al gewaarschuwd dat hun medewerkers op Haïti kinderen seksueel misbruikten https://t.co/GwZqg1sZTf",2018-02-18T20:16:42.000Z,https://t.co/BQ4NEcwdQI,AD.nl,Nederland,true,12,3,1,12,9,-11
Independent,Mary Beard posts tearful picture of herself after defence of Oxfam aid workers provokes backlash https://t.co/Ro8iP56rhF https://t.co/f4Vc2ENK7p,2018-02-18T12:14:48.000Z,https://t.co/gZeS7qlNx6,The Independent,"London, England",true,8,8,6,16,8,-2
Stanleylucas01,#Haiti Eske nou dako pou ONG #OXFAM @Oxfam kifè kadejak e abi seksyèl sou timoun an ayiti kontinye fonksyone nan peyi a? @Ricardo509 @okapnews @Okap509 @MounOcap @mounkafou @mounjeremi @cayes3 @Mairie_PPX @MairieDesGves @mairiedelmas @Mairie_PPX,2018-02-21T20:41:16.000Z,http://t.co/sUqQWYWxLB,Stanley Lucas,Washington D.C.,false,4,1,0,9,8,-4
Rekenkamer,"Rekenkamer in 2012 niet volledig geïnformeerd over misstanden Oxfam op  Haïti. Conclusie van toen, geen NL geld misbruikt, staat nog overeind. In een brief aan de Tweede Kamer licht de Rekenkamer toe welke rol het heeft gespeeld in 2012 #oxfam #tweedekamer https://t.co/y8h9obuEvc",2018-03-05T14:25:20.000Z,https://t.co/svLTbSpMVb,Algemene Rekenkamer,Den Haag,false,8,2,3,7,5,-5
JulieYooCNA,Oxfam is investigating more cases of sexual misconduct by its staff as more donors drop out. Has this changed your views on charity?,2018-02-21T00:23:57.000Z,,Julie Yoo,Singapore,false,4,1,0,4,3,-4
institutoahorro,"Oxfam
“tres de los cooperantes destinados en Haití llegaron a amenazar físicamente a un testigo en el curso de la investigación sobre Oxfam“ reseña hoy @elpais_espana 
“Allí... a  sus víctimas...las golpeaban“ reveló @Posicionpe antes que la propia Oxfam.
https://t.co/ubIUvfIxcy https://t.co/lOhjNLBEN1",2018-02-21T16:36:39.000Z,https://t.co/Ujr4hZnOxN,Instituto del Ahorro,"Lima, Perú",false,1,1,1,3,2,0
mwilliamsthomas,"Top #Oxfam staff paid Haiti survivors for sex. Oxfam is accused of covering up the use of prostitutes - who it ""cannot rule out"" might have been underage. https://t.co/0lr2QjZ6em",2018-02-08T22:37:36.000Z,https://t.co/t2H6R6J9Cm,Mark Williams-Thomas,International,true,12,2,0,3,1,-12
PatPorter76,"On Oxfam and scandal: A feature of the discussion so far, the rarity of opening the discussion with ""Those poor women and children."" Arguments are structured around whether ""we"" do good or ill, and whether ""we"" in the well-meaning industry are being unfairly or fairly treated. 1/",2018-02-18T12:07:15.000Z,https://t.co/wx6sc8sprQ,Patrick Porter,NA,false,1,2,0,3,1,-1
FREDDYENGELS,"#operationsanctuary
Sex abuse is not a particular race/cultural thing
120+ charity workers accused of sexual abuse in the last year alone. How many convicted?
https://t.co/d37oz9FWDh
1880 Catholic Priests &amp; Laity identified in Australia as sex abusers
https://t.co/D0y46EwipH",2018-02-23T17:01:49.000Z,https://t.co/z6Di4JK8dN,Ted Watson,Sol III,false,1,2,0,3,1,-1
SunPolitics,Labour veteran risks uproar after slamming ‘hysterical’ reaction to the Oxfam charity sex abuse scandal https://t.co/DbEhthuRg4,2018-02-23T18:10:00.000Z,https://t.co/1evKNl9fKu,Sun Politics,NA,true,2,1,0,2,1,-2
aieahengelo,"Oxfam Nederland wist al jaren van seksfeesten Haïti https://t.co/WIn7Sr0iXY via @Else4Weekblad
Directeur Farah Karimi (Groen Links) heeft er nu spijt van dat ze niets heeft gezegd.",2018-02-28T14:51:17.000Z,https://t.co/7VkiTzHbQg,Afval Informatie en Advies Hengelo,"Hengelo, Nederland",false,2,2,1,3,1,-1
WNLHaagseLobby,Wist oud-minister Uri Rosenthal van de misstanden van @oxfamgb op Haïti? Zometeen bij Haagse Lobby op @NPORadio1 #WNL https://t.co/GUhMdJmYk8,2018-03-05T19:29:58.000Z,https://t.co/TRax2706vZ,WNL Haagse Lobby,Hilversum,false,3,1,0,2,1,-3
BellaFlokarti,Desmond Tutu resigns as Oxfam ambassador over 'immorality' claims https://t.co/Ov4qdQgm50,2018-02-18T02:36:01.000Z,,Bella flokarti,NA,false,2,1,0,1,0,-2
sassenvanelsloo,"Toevoeging woordenboek: 'commissie' tijd kopen, doen over waaijen. Haïti: misbruik Oxfam 'slechts topje van ijsberg' https://t.co/XQyAnEwFv7",2018-02-18T05:57:16.000Z,https://t.co/nMdZzSQmP0,Sassen van Elsloo,NA,false,2,1,1,1,0,-1
Blickch,Hilfsorganisations-Mitarbeiter feierten auf Haiti Orgien mit Prostituierten: Schweiz zahlt 20 Millionen an Oxfam https://t.co/BNg9hSf1Lr https://t.co/X0CBzO7dks,2018-02-18T08:20:13.000Z,https://t.co/dbWC32eXQo,Blick,Switzerland,true,6,2,0,2,0,-6
volkstribunaal,President Haïti noemt misbruik medewerkers Oxfam 'slechts topje van ijsberg' https://t.co/rM0Lv53sfR (via @NUnl),2018-02-18T09:02:00.000Z,,Volkstribunaal,all over the place,false,3,1,0,1,0,-3
RRISC01,Oxfam admits it knew about abuse report 10 years ago https://t.co/gB6lhongFF,2018-02-18T09:47:52.000Z,,The Grey Line 01,Where we are needed.,false,1,1,0,1,0,-1
