user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
keithboykin,"A few reasons people called the cops on black people:
• waiting in @Starbucks
• napping in a @Yale dorm
• renting an @AirBnB
• golfing at @GrandviewGC
• shopping at @NordstromRack
• buying a belt at @BarneysNY 
• BB gun shopping at @Walmart
• wearing a hoodie in the rain",2018-05-10T03:49:31.000Z,https://t.co/mwHLxQwWys,Keith Boykin,"Los Angeles, CA",true,31006,59081,1512,1314,-57767,-29494
elijahdaniel,when starbucks doesnt have your venti iced chai pumpkin spice unicorn  latte with two shots of espresso and also you’re a racist https://t.co/KuFRdsiZ4n,2018-05-14T00:37:22.000Z,,elijah daniel,he/him,true,18397,119922,236,182,-119740,-18161
ananavarro,"Two men were arrested for waiting at Starbucks. Police called on a Yale student for sleeping. Elderly driver was sworn at, dragged out of her car by 3 policemen for swerving into wrong lane. They were all black.

America, what is happening in our country?
 https://t.co/t61EnRs6wE",2018-05-12T11:57:10.000Z,https://t.co/IaghNWqyKC,Ana Navarro-Cárdenas,"Coral Gables, Fl",true,13150,29906,1516,4225,-25681,-11634
adamcbest,"Donald Trump has now tweeted TWICE today about Kanye West. 

He never tweeted about James Shaw Jr., the hero of the Waffle House shooting. 

He never tweeted about racial profiling of innocent black men at Starbucks. 

Tells you all you need to know about who our President is.",2018-04-25T21:38:07.000Z,https://t.co/it2PtJ1xIw,Adam Best,"Huntsville, AL",true,10429,29995,450,738,-29257,-9979
IamGMJohnson,"Black folk outrage

Flint not having water
Unarmed blacks killed by cops
Cops called on black patrons at Starbucks, golf course, &amp; Waffle House
Black woman goes into Cardiac arrest plane wouldn’t land

White folk outrage:

A joke made about Sarah Huckabee Sanders eye makeup",2018-04-29T23:38:41.000Z,https://t.co/7Nb5sT8e1K,George M Johnson,"Los Angeles, CA",true,6339,17689,109,155,-17534,-6230
Bakari_Sellers,"If you see a gang of young black ppl together today, with their grandmothers, staying at an air bnb, playing Young Dolph, eating at Waffle House, grabbing coffee at Starbucks, taking a nap, or organizing a BBQ in the local park, DO NOT CALL THE POLICE, they are graduates!!",2018-05-12T19:19:29.000Z,https://t.co/UyiREQLgOQ,Bakari Sellers,"Denmark, SC",true,2481,9171,111,187,-8984,-2370
charliekirk11,"There was national outrage at @Starbucks when two men didn’t buy anything, refused to leave then blamed racism

Will there be outrage at @Cheesecake for their employees who berated a black man who quietly wore a #MAGA Trump hat?

Will they be required to do tolerance training? 🤔",2018-05-15T16:15:37.000Z,https://t.co/l36Fo1mIus,Charlie Kirk,"Phoenix, AZ",true,2133,5216,155,275,-4941,-1978
shomaristone,"Pedro doesn’t believe the slur was an accident because the Starbucks barista called his name once his order was ready. In an effort to compensate the experience, Starbucks offered him a $50 gift card.
""I didn't accept it because its like an insult overall”
https://t.co/FjBeusx7CX",2018-05-17T17:18:39.000Z,https://t.co/JEGbwFNlsl,Shomari Stone,"Washington, DC",true,2041,4053,371,172,-3881,-1670
GeorgeTakei,"Kudos to these young men, who are showing a level of class and decency that certainly was not shown to them. https://t.co/FAlWq6R553",2018-05-05T21:05:44.000Z,https://t.co/FESrB1JExy,George Takei,"Broadway - New York, NY",true,1964,10157,50,115,-10042,-1914
freedomrideblog,"Black teen in Michigan shot at when he knocks on a door to ask for directions. Black men in Philly arrested at Starbucks for minding their own business. Don't knock on a door, go to Starbucks, drive, walk, eat. Just die. That is what they want.
#BoycottStarbucks #BlackLivesMatter",2018-04-13T22:44:44.000Z,https://t.co/3o9tq1XEJq,Margaret Kimberley,"New York, NY",false,1653,3813,58,78,-3735,-1595
kazweida,"Woman of color at Yale- White woman calls police
Men of color at Starbucks- White woman calls police
Women of color in Waffle House- White woman calls police
Airbnb guests of color- White woman calls police

If you can't see why Trump got elected, you're not paying attention.",2018-05-10T15:01:15.000Z,https://t.co/I3e6Md7txJ,🌻 Kaz Weida 🌻,"Utah, USA",false,1572,3657,135,141,-3516,-1437
shannonrwatts,Right - just for sitting in Starbucks while Black. Or asking for a spoon while Black. Or going through a TSA line while Black. Or while waiting for a ride to a basketball game while Black. Or filming the police while Black. Or drinking an Arizona Iced Tea while Black. Or... https://t.co/rS9p7GFjTP,2018-04-27T15:19:42.000Z,https://t.co/LkDDRBzjnN,Shannon Watts,"NRA’s head, rent free",true,1489,5723,27,98,-5625,-1462
eugenegu,"Unlike Starbucks, Waffle House and its employees are embracing racism and police brutality. They hide behind the veneer of praising James Shaw Jr. as a “Waffle House” hero while maliciously calling the police on black patrons to brutalize them. Outrageous. https://t.co/30d7vQGAAr",2018-05-11T00:19:56.000Z,,"Eugene Gu, MD","New York, USA",true,1290,1814,178,216,-1598,-1112
LGDoingThings,Lady Gaga sitting alone on the sidewalk waiting for Starbucks to open (2018) https://t.co/XCQVuh5UEu,2018-05-12T20:00:27.000Z,,Gaga Doing Things,NA,false,1160,4557,97,8,-4549,-1063
Liz_Wheeler,"Funny, how all white people are racist when two black men are arrested in Starbucks, but when a black man wearing a MAGA hat is harassed &amp; threatened in a Cheesecake Factory, the media is just like, ""BUT IVANKA IS A GHOUL.""",2018-05-15T16:39:15.000Z,https://t.co/HVIhfM2tmr,Liz Wheeler,NA,true,1004,2728,51,76,-2652,-953
mic,"People will call the cops on you if you wait in a Starbucks, if you ask for silverware in a Waffle House, or if you play golf at a golf course — but only if you’re black.

@MsPackyetti wants you to share a moment when you experienced harm simply for being black. Use #whileblack. https://t.co/YOraNNmMWY",2018-04-26T23:30:00.000Z,https://t.co/RoWbUt6buj,Mic,NYC,true,901,1408,54,53,-1355,-847
