user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
Nigel_Farage,"Boris Johnson now has the chance to save Brexit, he will be a hero if he walks away from the betrayal of voters’ trust.",2018-07-09T12:36:40.000Z,https://t.co/BckceNszCb,Nigel Farage,NA,true,1882,7600,185,582,-7018,-1697
Quicktake,Monsanto was ordered to pay $289 million for causing Dewayne Johnson's cancer. Doctors didn’t think he would live long enough to testify #tictocnews https://t.co/USLKYKb4KL https://t.co/qOlqdJugNx,2018-08-15T02:55:23.000Z,https://t.co/VtjZNinDYb,Bloomberg Quicktake,NA,true,705,1135,142,54,-1081,-563
Keir_Starmer,Hard to argue with that verdict. https://t.co/ubQGkKxwON,2018-07-09T20:37:47.000Z,https://t.co/lc4eHHyqlr,Keir Starmer,United Kingdom,true,463,1335,22,65,-1270,-441
BriefcaseMike,Ye gods! Matt Hancock becomes Health Secretary. To borrow a phrase of Lyndon Johnson's you wouldn't trust him to pour piss out of a boot if the instructions were written on the heel. #Reshuffle #bbcnews,2018-07-09T20:19:32.000Z,,Briefcase Michael,England,false,407,811,11,24,-787,-396
bigricanman,Rest In Peace PO Paul Johnson of @NYPDnews who was murdered on 9/11/01 and passed away today 7/22/18 due to cancer from working at ground zero. Please retweet to honor him #NeverForget #TheSacrificeContinues #ESUStrong #NYPD #September11 💙🙏🏼😞 https://t.co/wLxGk6vwKc,2018-07-22T18:02:47.000Z,,Angel L Maysonet🇵🇷🇺🇸👮🏻‍♂️💙🖤 ✭,New York ,false,350,619,42,67,-552,-308
SoniaBridi,É o herbicida mais vendido no Brasil.  https://t.co/vlvHpaPvJT,2018-07-25T02:53:19.000Z,,Sônia Bridi,NA,true,335,446,18,14,-432,-317
Forbes,"On the heels of last week’s decision by a Missouri jury ordering Johnson &amp; Johnson to pay $4.7 billion to plaintiffs who claimed that its baby powder gave them ovarian cancer, the company reported its Q2 earnings
https://t.co/eM0TAovQrc https://t.co/rvsdMsnlKm",2018-07-17T19:15:02.000Z,https://t.co/6qjZ8PCpvM,Forbes,"New York, NY",true,211,282,30,8,-274,-181
lesleyraekelly,"To consumers who buy food from my farm,

I’m sorry for losing your trust in us and about the safe products, like glyphosate, we use. 

But help me earn it back. 

Sincerely,
A farmer and mom who uses #glyphosate 

Blog 👉🏻 https://t.co/Us2DZ8IbT0 https://t.co/QNGpuxhsYi",2018-08-16T17:30:24.000Z,https://t.co/5p6LD42Fl7,highheels&fields,"Saskatchewan, Canada",false,210,713,37,35,-678,-173
BleacherReport,Chad Johnson Jr. has trained with AB and says Alabama wants him. Just don’t tell him he’s only being recruited because he shares a name with his legendary WR dad https://t.co/6J6qoz41WE https://t.co/YyMlqeDhtj,2018-07-18T21:57:47.000Z,https://t.co/8frgVyfSLy,Bleacher Report,NA,true,202,1175,27,26,-1149,-175
Stephen_Curry,“he is neither an intellectually thoughtful nor a morally serious person. […] He is very bright but not very wise. He possesses both bottomless self-regard and incontinent ambition. And among the many things I would never trust him with is my country.” https://t.co/QZis8gTsJi,2018-08-09T12:46:32.000Z,https://t.co/im1b3kWTR5,Stephen Curry,London (various),false,189,376,12,19,-357,-177
