user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
RonanFarrow,"How an elite university research center concealed its relationship with a sex offender—documents show MIT Media Lab accepted donations directed by Jeffrey Epstein far in excess of what the university has admitted to, and worked to cover it up: https://t.co/KTdYdCbZ6u",2019-09-07T03:02:36.000Z,https://t.co/TGvgXJL43e,Ronan Farrow,Genovia,true,13197,26178,1721,832,-25346,-11476
NewYorker,"Documents obtained by The New Yorker reveal that the M.I.T. Media Lab had a deeper fund-raising relationship with Jeffrey Epstein than it has previously acknowledged, and it attempted to conceal the extent of its contacts with him. https://t.co/1PvXpybd0s",2019-09-07T02:57:22.000Z,https://t.co/RLTwD4X3RQ,The New Yorker,"New York, NY",true,2687,4676,416,322,-4354,-2271
EthanZ,"About that @BostonGlobe story... On me, and deciding to leave @MIT @medialab: https://t.co/LP4Y9HKm9o",2019-08-21T01:43:27.000Z,https://t.co/wuDLmOGxgA,Ethan Zuckerman,"Pittsfield, MA",false,906,3034,319,209,-2825,-587
cesifoti,I’ve known about Epstein’s involvement with the MIT Media Lab and Joi Ito from the moment Joi shared his public apology. I joined the Media Lab as faculty before Joi joined as director. I have a few thoughts to share... [open thread] 1/,2019-09-07T14:36:25.000Z,https://t.co/VkRK2jn6Gy,César A. Hidalgo,"Toulouse, France",false,992,2494,310,38,-2456,-682
RonanFarrow,"Update: after our story last night on MIT Media Lab's dealings with Jeffrey Epstein, Joi Ito, the lab's director, resigned, and MIT's President announced an independent investigation: https://t.co/KTdYdCbZ6u https://t.co/Ad83z0k80v",2019-09-07T20:26:34.000Z,https://t.co/TGvgXJL43e,Ronan Farrow,Genovia,true,1817,6939,192,229,-6710,-1625
nytimes,"Breaking News: Joichi Ito, the director of MIT's prestigious Media Lab and an NYT Co. board member, has resigned from the lab amid an outcry over his financial ties to Jeffrey Epstein.
https://t.co/xmYzPJm7NR",2019-09-07T19:01:22.000Z,http://t.co/ahvuWqicF9,The New York Times,New York City,true,700,1127,136,88,-1039,-564
SarahTaber_bww,"It's alive!

I wrote an article on Jeff Epstein, the MIT Media Lab, gee-whiz demos that don't work in real life, and the problem that unites them:

Sugar Daddy Science.

https://t.co/a3HjJoLJvC

#sugardaddyscience",2019-09-18T11:36:52.000Z,https://t.co/2GSiIqRfNC,Dr Sarah Taber,"Fayetteville, NC",false,645,1607,101,60,-1547,-544
davidfolkenflik,"“At that point it hit me: this pedophile is going to be in our office.” - MIT whistleblower on 2015

@RonanFarrow: Epstein arranged least $7.5M in gifts to MIT Media Lab - a far greater relationship than Ito acknowledged. (Ito also sits on NYT Co board) https://t.co/eTV78mFS2b",2019-09-07T04:19:50.000Z,https://t.co/NMZ7c2D4UO,David Folkenflik,"New York, N.Y.",true,1218,2398,64,61,-2337,-1154
CarrollQuigley1,"We got him. 

Feels good. 

Going to the lake to celebrate this small victory. 

Good job @99freemind
@RonanFarrow and everyone who stuck with this story. 

This proves people from all sides can work together in the face of true evil. 

Well done. 
https://t.co/IYnRoC1LTc",2019-09-07T20:11:26.000Z,https://t.co/dGins5YcYc,Qᴜɪɢʟᴇʏ.ᴇᴛʜᵍᵐ,United States 🇺🇲,false,372,672,64,54,-618,-308
rachelcoldicutt,"I spoke at an event with Nicholas Negroponte last year. I was on just before him; when he took the stage, he looked at me and said, “If you think technology has had negative consequences, you’re an idiot.” So I guess he’s pursuing a policy of no regrets. https://t.co/Vnll0EupZg",2019-09-05T01:42:39.000Z,https://t.co/jbnMEwd0Mn,Rachel Coldicutt,"London, England",false,277,904,59,44,-860,-218
