user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
Radio702,AfriForum deputy CEO Ernst Roets says he doesn't think the H&amp;M ad was comparing black people to monkeys. https://t.co/kqL9QIBOEW,2018-01-16T12:11:17.000Z,https://t.co/gcMmtOFshg,702,"Gauteng, South Africa",true,15,28,31,96,68,16
TheRoot,Parents of H&amp;M model speak out on 'monkey' hoodie controversy: ‘Everybody should respect different opinions based on racism’ https://t.co/iSuTbFPJU1 https://t.co/f3JFUaGb5k,2018-01-17T06:06:46.000Z,https://t.co/KLVGN9DpOP,The Root,"New York, NY",true,39,57,25,99,42,-14
TheRoot,The parents of the young Black boy who was pictured in a racist H&amp;M hoodie say that the garment never triggered any reaction from them in the moment: https://t.co/jjXfgSQrCA,2018-01-20T20:30:11.000Z,https://t.co/KLVGN9DpOP,The Root,"New York, NY",true,20,21,9,39,18,-11
Powerfm987,"Kriel: Personally, I think H&amp;M made a mistake and they said sorry for that. I don't view it as racism #POWERTalk",2018-01-18T08:22:28.000Z,https://t.co/sfHyMTd1wT,POWER 98.7,Houghton,true,3,1,6,15,14,3
RickeySmiley,What's your take? https://t.co/Fvdeu6yVfJ,2018-01-16T19:04:31.000Z,https://t.co/3au9HQKfgS,Rickey Smiley,"Birmingham, AL",true,22,47,10,56,9,-12
MasweleRalebona,Afriforum's Ernst Roets says he doesn't think the H&amp;M advert is racist #sabcnews,2018-01-16T17:22:21.000Z,,Maswele Ralebona ll,Johannesburg,false,5,5,9,12,7,4
BBCNewsbeat,eBay has banned people from selling the hoodie from H&amp;M's 'racist' advert https://t.co/xXJJgp48mC https://t.co/ZBcwNyOHY8,2018-01-17T11:53:50.000Z,https://t.co/KdVbxEl0nJ,BBC Newsbeat,UK,true,2,14,7,20,6,5
Independent,Loose Women host Saira Khan says she would have purchased 'racist' H&amp;M hoodie for her mixed race child https://t.co/zbCbsheO6c,2018-01-12T06:42:00.000Z,https://t.co/gZeS7qlNx6,The Independent,"London, England",true,1,6,3,10,4,2
RaiNews,"""The coolest monkey in the jungle"": costretti a cambiare casa in Svezia genitori del bambino di H&amp;M → https://t.co/nJZazc7IGG #coolestmonkeyinthejungle https://t.co/gI1deB9Ndl",2018-01-17T08:42:19.000Z,https://t.co/PAB9OQLw3b,RaiNews,NA,true,3,1,2,5,4,-1
ewnupdates,[OPINION] Moving beyond H&amp;M to really tackle racism https://t.co/vfr1IG7JZV https://t.co/G42ffNqP0G,2018-01-18T07:08:35.000Z,https://t.co/VAfvGDibeQ,Eyewitness News,South Africa,true,3,3,0,7,4,-3
Independent,H&amp;M forced to recall a range of socks after they appeared to show the word Allah upside-down in Arabic https://t.co/lFRO8BeIsp https://t.co/6upmpuG58u,2018-01-29T18:58:58.000Z,https://t.co/gZeS7qlNx6,The Independent,"London, England",true,16,2,10,6,4,-6
okayplayer,SMH. Rachel Dolezal tries to make a profit from the racist H&amp;M scandal. https://t.co/M393aLdywo https://t.co/xwE571DrSK,2018-01-12T03:30:16.000Z,https://t.co/3fLhkJmMXg,Okayplayer,"Brooklyn, NY",true,2,3,2,6,3,0
eb4prez,I want one of those H&amp;M monkey hoodies.,2018-01-18T19:00:16.000Z,https://t.co/JaD13hMUoD,Eric M. Black,"BROOKLYN, NEW YORK",false,2,3,1,6,3,-1
eNCA_backchat,"[ON AIR] : With regards to the H&amp;M and EFF incident,  is vandalism the best way to respond to racism? | #BackChat",2018-02-09T07:45:36.000Z,https://t.co/apfW1nxAk7,BackChat,South Africa,false,6,10,0,13,3,-6
DailyMirror,"Man rampages through H&amp;M store acting like a gorilla in response to 'racist' ad
https://t.co/U9XRoPpTHD https://t.co/qpSpB7gGAI",2018-01-12T10:57:55.000Z,https://t.co/Qu6W4UXLHh,The Mirror,UK,true,8,6,3,8,2,-5
TheSun,Sick troll photoshops Madeleine McCann's face onto an H&amp;M jumper https://t.co/iecVZwbqUa https://t.co/0r0MxOyqur,2018-01-12T13:25:27.000Z,https://t.co/JDrksMhBkC,The Sun,London,true,13,36,34,38,2,21
DialogusCI,"Hace poco H&amp;M presentó la publicidad de un niño negro en cuya sudadera decía ""The coolest monkey in the jungle"" (el mono más cool de la selva). Se les acusó de racistas y retiraron el anuncio. Ante dicha crisis ¿Qué recomendarías a H&amp;M a nivel de #ComunicaciónInterna? #DialogusCI https://t.co/2MnMT23lLt",2018-01-16T14:52:28.000Z,https://t.co/se2tZgXPt5,DialogusCI,Colombia ,false,8,14,0,16,2,-8
JacaNews,"#WEF2018 Finance Minister Malusi Gigaba says H&amp;M advert was very offensive. 

The online ad showed a young black boy wearing a sweater written ‘Coolest monkey in the jungle.’",2018-01-18T07:46:42.000Z,https://t.co/cTOV2AVYcN,Jacaranda News,Midrand,true,1,1,0,3,2,-1
POWER987News,"#POWERTalk Kriel:Personally, I think H&amp;M made a mistake and they said sorry for that. I don't view it as racism",2018-01-18T08:25:11.000Z,https://t.co/LP6aGO2dIQ,POWER987News,"Johannesburg, South Africa",true,3,1,5,3,2,2
Blavity,Is it too little too late? @HM hires 'global leader for diversity and inclusiveness' following backlash to 'coolest monkey' hoodie https://t.co/EZSv409XUc https://t.co/DXku4qvYvZ,2018-01-21T02:00:15.000Z,https://t.co/CUmFmynfet,Blavity News,"Los Angeles, CA",true,3,2,4,4,2,1
okayplayer,"Mother of the H&amp;M model in 'racist' Coolest Monkey In The Jungle hoodie wants people to ""stop crying wolf."" 🤔 Y'all agree?  https://t.co/m1E0ZXOJiF https://t.co/11z2DOFwkV",2018-01-12T00:30:23.000Z,https://t.co/3fLhkJmMXg,Okayplayer,"Brooklyn, NY",true,1,2,4,3,1,3
chatlas,This white @afriforum guy on 702 a re he doesn’t understand why black people are offended by that H&amp;M monkey hoodie coz le yena his kids have tees written “monkey” 😐 https://t.co/2rsvX3TmI4,2018-01-16T10:59:57.000Z,,Mr Moloi to you!,All Over 🇿🇦,false,1,1,0,2,1,-1
