user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
Airthuggin,Y’all made H&amp;M drop prices by 80% I need y’all to find the most racist thing gucci ever done so I can go shopping,2018-01-17T23:00:58.000Z,,Big Stepper,UPTOWN,false,492,735,44,4,-731,-448
stillgray,"Things that are racist and/or sexist in January 2018:

Non-black people of color
Meritocracy
Memes made by Ugandan Wakaliwood filmmakers
Monster Hunter World
Capitalism
Intellectual rigor
James Bond
12 Strong
H&amp;M
Monty Python
Thomas the Tank Engine
The Spanish word for ""black.""",2018-01-28T15:21:29.000Z,https://t.co/zeCKyEiTgB,Ian Miles Cheong,Telegram,true,343,1253,26,112,-1141,-317
tariqnasheed,"The African parents of the child H&amp;M model who appeared in a racist ad, are on tv buck dancing...BTW, who does that dad look like? 🚂🚂😂😂 https://t.co/2rn6BbQTD8",2018-01-16T00:44:54.000Z,https://t.co/yAUICwSl4j,Tariq Nasheed 🇺🇸,Los Angeles,true,341,589,113,408,-181,-228
Blayofficial,"“Coolest Monkey in the jungle”

@hm I hope this was a coincidence and not intentional. https://t.co/QbjG0nYEio",2018-01-07T23:35:02.000Z,https://t.co/aVBgyGzAOS,Blay 🤞🏿🇬🇭,"London, England",false,335,372,32,17,-355,-303
ajplus,H&amp;M closed its South African stores after protests over a racist ad. https://t.co/7GW0u1XfT4,2018-01-16T04:51:10.000Z,https://t.co/dffekhz2Zn,AJ+,NA,true,305,392,65,31,-361,-240
CNN,"H&amp;M has appointed a diversity manager after dealing with the fallout from using a black child to advertise a hoodie with the slogan ""coolest monkey in the jungle"" https://t.co/QK2tetYYML https://t.co/TxmJ7tnrKD",2018-01-18T00:09:06.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,180,307,112,201,-106,-68
BBCWorld,H&amp;M child model's mum says ad 'not racist' https://t.co/l69E4sFLWk,2018-01-16T23:16:46.000Z,https://t.co/7NEgoMwJy3,BBC News (World),"London, UK",true,124,306,44,100,-206,-80
proactivevee,"H&amp;M apologizes for using black child to sell ""coolest monkey"" top https://t.co/e8s6PbSJk8 https://t.co/zeXj5r4cCb",2018-01-12T22:00:31.000Z,https://t.co/ak1d9fhXNJ,𝐕𝐞𝐞 𝐃𝐮𝐧𝐟𝐨𝐫𝐝➔𝐒𝐭𝐨𝐢𝐜 𝐁𝐲 𝐍𝐚𝐭𝐮𝐫𝐞,"London, England",false,123,2,0,0,-2,-123
cnni,"H&amp;M has appointed a diversity manager after dealing with the fallout from using a black child to advertise a hoodie with the slogan ""coolest monkey in the jungle"" https://t.co/ahem5WmMAI https://t.co/LLEgFJEzwe",2018-01-18T06:42:30.000Z,http://t.co/kdkv08KSgi,CNN International,Everywhere,true,110,151,48,58,-93,-62
CNN,"H&amp;M has appointed a diversity manager after dealing with the fallout from using a black child to advertise a hoodie with the slogan ""coolest monkey in the jungle"" https://t.co/xG0hR6S9Jz https://t.co/1V9WZEK8WE",2018-01-18T06:52:38.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,107,214,74,111,-103,-33
PeterSweden7,"Remember the 5yr old kid who was in the ""controversial"" H&amp;M ad?

They have now had to move house in Sweden because of threats from other African people.

All The far-left virtue signalling has caused ACTUAL harm to 2 wonderful black people.

SHAME!

https://t.co/bSSdF4O2id https://t.co/nXZpfoo4aQ",2018-01-17T19:54:27.000Z,https://t.co/gqkocsNu9T,PeterSweden,"Møre og Romsdal, Norway",false,104,191,7,20,-171,-97
BulelaniPhillip,"EFF has taken up a racism incident and assisted the victim to lay a formal complaint with the Equality Court. 
Tomorrow, they march to H&amp;M in V&amp;A Waterfront.🔥🔥🔥",2018-01-12T14:21:44.000Z,,Bulelani Phillip,Cape Town.,false,98,111,12,8,-103,-86
CNN,"H&amp;M has appointed a diversity manager after dealing with the fallout from using a black child to advertise a hoodie with the slogan ""coolest monkey in the jungle"" https://t.co/I8eZI6IZIL https://t.co/CSqNVkNgYL",2018-01-18T08:31:04.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,95,188,61,66,-122,-34
AdvoBarryRoux,"David O'Sullivan on H&amp;M EFF protest.

""As a white man, I'm the last person to tell a black person how to identify or react to racism."" https://t.co/LwDhqYPGtz",2018-01-16T11:57:30.000Z,,Man’s NOT Barry Roux ,South Africa,false,86,274,3,15,-259,-83
chestermissing,Afriforum’s Ernst Roets on 702 doesn’t think the H&amp;M is racist. Then he says for us to decide Dubuli Bhunu is racist we must ask the people the song is about. Many many black people say H&amp;M ad is racist. Ernst lost an argument with himself on public radio.,2018-01-16T10:55:41.000Z,https://t.co/gEKHL06oye,Chester Missing,SUITCASE in SOUTH AFRICA.,false,83,129,11,18,-111,-72
RickeySmiley,Worse than H&amp;M's monkey hoodie?? https://t.co/CKU7wfzoDS,2018-01-24T22:04:00.000Z,https://t.co/3au9HQKfgS,Rickey Smiley,"Birmingham, AL",true,79,63,26,62,-1,-53
