user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
Eleisegui,"HISTÓRICO: El tribunal de San Francisco acaba de hallar culpable a la multinacional #Monsanto de contaminar y enfermar de cáncer al jardinero Dewayne Johnson. El glifosato produce esa enfermedad, estableció la Justicia estadounidense. Adiós al discurso corporativo. @MonsantoCo https://t.co/uHnGI1QWcW",2018-08-10T22:19:02.000Z,https://t.co/hqVZZGuMcl,Patricio Eleisegui,Ciudad de Buenos Aires,false,4183,5140,276,79,-5061,-3907
jennirsl,Boris Johnson's resignation was an act of desperation.  He knows the verdict of history is about to come down on him - and bury him.  My column for @nytimes. Boris Johnson Has Ruined Britain https://t.co/WDuiEENndy,2018-07-10T12:11:40.000Z,https://t.co/zzjnowhSdL,Jenni Russell,London,true,2994,5516,389,311,-5205,-2605
NBCNews,"BREAKING: Jury rules Monsanto 'Roundup' weed killer product was ""substantial factor"" in causing harm to groundskeeper Dewayne Johnson, who has terminal cancer; awards more than $250,000,000 in damages.",2018-08-10T22:23:59.000Z,https://t.co/Z73is4fJ3x,NBC News,"New York, NY",true,2878,6133,385,212,-5921,-2493
chizubunny,"Talc itself tak bahaya.
Talc is used in almost all powder based cosmetics eg. face powder &amp; eyeshadows.

Tapi SANGAT bahaya kalau talc ni hadir brsama satu setan dipanggil asbestos (&amp; setan ni ada dlm J&amp;J talcum powder).

Take care &amp; pls jgn apply benda merepek kt private part 🙁 https://t.co/NaWTF7Li0J",2018-07-14T03:49:04.000Z,,Bunny 🐰,NA,false,2784,1128,56,15,-1113,-2728
HuffPost,"A California jury found Monsanto liable in a lawsuit filed by school groundskeeper Dewayne Johnson, who alleged the company’s glyphosate-based weed-killers caused his cancer. Johnson’s doctors said he is unlikely to live past 2020. https://t.co/nYK7okWQhE",2018-08-10T23:40:44.000Z,https://t.co/DLXRSufyhx,HuffPost,NA,true,2393,3853,421,192,-3661,-1972
cnnbrk,"In a groundbreaking case, a jury awards $289 million in damages to a man who said he got terminal cancer from Monsanto's popular weedkiller Roundup https://t.co/ub7wY2NMYZ https://t.co/ePMcxpHMGi",2018-08-10T22:37:29.000Z,https://t.co/ojQgQKzKzX,CNN Breaking News,Everywhere,true,2018,4038,388,287,-3751,-1630
Nigel_Farage,"Boris Johnson now has the chance to save Brexit, he will be a hero if he walks away from the betrayal of voters’ trust.",2018-07-09T12:36:40.000Z,https://t.co/BckceNszCb,Nigel Farage,NA,true,1882,7600,185,582,-7018,-1697
MSNBC,"BREAKING: Jury rules Monsanto 'Roundup' weed killer product was ""substantial factor"" in causing harm to groundskeeper Dewayne Johnson, who has terminal cancer; awards more than $250,000,000 in damages.",2018-08-10T22:30:01.000Z,https://t.co/YBwtJIhwY3,MSNBC,NA,true,1866,4166,166,131,-4035,-1700
patriciajaniot,"En un caso sin precedentes, un jardinero le gana a Monsanto una demanda de 289 millones de dólares  por daños y perjuicios tras contraer cancer al usar durante años un herbicida cuyo principal ingrediente es el glifosato.

https://t.co/fjtecXydcN",2018-08-10T23:08:03.000Z,https://t.co/yKUyhh4GjN,Patricia Janiot,"Miami, FL",true,1698,1788,129,79,-1709,-1569
greenpeacefr,"#Monsanto condamné ! 
Ce verdict est historique et sonnerait peut-être enfin la fin du droit à polluer impunément pour le géant américain. 

Bravo à Dewayne Johnson pour sa persévérance et son courage. 
#glyphosate #MonsantoTrial 
https://t.co/r6nYWTcIm2",2018-08-11T09:20:35.000Z,https://t.co/MOUI21QsqO,Greenpeace France,Paris,true,1108,2055,71,49,-2006,-1037
guardian,Monsanto ordered to pay $289m as jury rules weedkiller caused man's cancer https://t.co/H8Dat0CjZQ,2018-08-10T22:50:47.000Z,https://t.co/c53pnmnuIT,The Guardian,London,true,966,1592,181,60,-1532,-785
CarolineLucas,"Good news! EU must urgently ban Roundup, &amp; if UK Govt serious about safeguarding protections for health &amp; environment after possible Brexit, it must commit to a ban now.

Huge vindication for campaigners &amp; tells corporations they will be held accountable. https://t.co/6Y6qNRD4wM",2018-08-11T14:22:11.000Z,https://t.co/ewcgZ2enbv,Caroline Lucas,Brighton,true,936,1626,39,67,-1559,-897
GeorgeMonbiot,"This has big implications: jury determines that Roundup herbicide caused DeWayne Johnson's cancer, and that Monsanto sought to suppress knowledge of its hazards: https://t.co/SjMra6ICk1",2018-08-11T06:33:20.000Z,http://t.co/DWv0C2B9q5,George Monbiot,NA,true,879,1172,66,39,-1133,-813
ARTEfr,"C'est un jugement historique, #Monsanto vient d'être condamné pour le cancer de Dewayne Johnson  ☢&gt; https://t.co/ee2oOTna2s #Glyphosate https://t.co/RvsygwzegP",2018-08-11T15:00:46.000Z,https://t.co/PxVJ5CSsdC,ARTE,"Paris, Strasbourg, Baden-Baden",true,832,1064,40,34,-1030,-792
ajplus,"A jury awarded $4.7 billion in damages to 22 women who say they developed ovarian cancer after using Johnson &amp; Johnson’s talc-based products, including its baby powder. https://t.co/W2mE2yGpKi",2018-07-13T13:47:41.000Z,https://t.co/dffekhz2Zn,AJ+,NA,true,808,403,131,17,-386,-677
SKinnock,"Boris Johnson was without doubt the worst Foreign Secretary that our country has ever had. Others have certainly made mistakes and errors of judgement, but they were not self-obsessed idiotic buffoons, intent on turning our country into a laughing stock. Good riddance.",2018-07-10T05:42:06.000Z,https://t.co/Tvm1WJaOXI,Stephen Kinnock,Port Talbot,true,807,3591,68,186,-3405,-739
stephanecel,UN HÉROS . Le courage de cet homme merveilleux. Etre en phase terminale d'un cancer et mener une bataille judiciaire contre #Monsanto. Et gagner. Merci Mr Dewayne Johnson. Tellement bouleversant. https://t.co/a1EG9VEECM,2018-08-11T15:40:59.000Z,https://t.co/gNd6ekUlwb,Stephane Celerier,Paris - NYC- LA,true,767,2657,15,34,-2623,-752
Quicktake,Monsanto was ordered to pay $289 million for causing Dewayne Johnson's cancer. Doctors didn’t think he would live long enough to testify #tictocnews https://t.co/USLKYKb4KL https://t.co/qOlqdJugNx,2018-08-15T02:55:23.000Z,https://t.co/VtjZNinDYb,Bloomberg Quicktake,NA,true,705,1135,142,54,-1081,-563
pinabertoglia,"Condenan a Johnson &amp; Johnson a pagar 4,7 mil millones por vender polvos talco con asbesto (lo ocultaron por 40 años), lo que habría causado casos de cáncer de ovario 😱
https://t.co/OsyMS8fvMc",2018-07-16T00:38:50.000Z,https://t.co/ee7Gd1IJKM,Maria Paz Bertoglia 🌳,"Santiago, Chile",false,652,240,29,24,-216,-623
michaelpollan,Monsanto ordered to pay $289m as jury rules weedkiller caused man's cancer | Business | The Guardian https://t.co/S6zKzM3kEh,2018-08-11T01:19:52.000Z,https://t.co/PkOsbcsbBM,Michael Pollan,"Berkeley, CA",true,646,1732,89,39,-1693,-557
TIME,Women claimed Johnson &amp; Johnson's talc powder gave them ovarian cancer. They just won $4.7 billion in damages https://t.co/ACFB0LSacT,2018-07-13T02:25:03.000Z,https://t.co/vl89LXOvyB,TIME,NA,true,638,493,144,40,-453,-494
CNN,A jury has awarded $289 million in damages to a man who said he got terminal cancer from Monsanto's popular weedkiller Roundup https://t.co/boukiOoJ5M https://t.co/ddGH7KJ3Ri,2018-08-10T22:48:31.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,535,1172,89,77,-1095,-446
501Awani,#AWANInews #AWANIpagi Produk mengandungi asbestos: Johnson &amp; Johnson diarah bayar ASD4.7 bilion https://t.co/dHeKuSHNob https://t.co/ukJuugExmN,2018-07-14T01:19:29.000Z,https://t.co/OPvKEvHWjZ,🇲🇾Astro AWANI🇲🇾,Malaysia,true,487,253,53,9,-244,-434
Keir_Starmer,Hard to argue with that verdict. https://t.co/ubQGkKxwON,2018-07-09T20:37:47.000Z,https://t.co/lc4eHHyqlr,Keir Starmer,United Kingdom,true,463,1335,22,65,-1270,-441
CNN,A jury has awarded $4.62 billion to 22 women who sued pharmaceutical giant Johnson &amp; Johnson alleging their ovarian cancer was caused by using its powder https://t.co/50fYrUM7ko https://t.co/mUsjzG3osT,2018-07-13T10:46:32.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,445,479,87,48,-431,-358
BreakingNews,"Jury rules Monsanto 'Roundup' weed killer product was ""substantial factor"" in causing harm to groundskeeper Dewayne Johnson, who has terminal cancer; awards more than $250,000,000 in damages. https://t.co/JsIT5Tj4uQ - @NBCNews",2018-08-10T22:38:25.000Z,https://t.co/yjD4mOeepa,Breaking News,"NYC, LA, London",true,423,702,95,31,-671,-328
joerogan,Jurors give $289 million to a man they say got cancer from Monsanto's Roundup weedkiller - CNN https://t.co/UVWL5c5IQ5,2018-08-11T04:23:14.000Z,https://t.co/UoPqZeUr22,Joe Rogan,NA,true,421,2009,65,202,-1807,-356
BriefcaseMike,Ye gods! Matt Hancock becomes Health Secretary. To borrow a phrase of Lyndon Johnson's you wouldn't trust him to pour piss out of a boot if the instructions were written on the heel. #Reshuffle #bbcnews,2018-07-09T20:19:32.000Z,,Briefcase Michael,England,false,407,811,11,24,-787,-396
DavidJHarrisJr,"Another powerful black American shares why he walked away from the Democrat plantation! 

There’s a massive black exodus taking place! 
 @UniteAmerica1st @usminority 
https://t.co/28C7gQyxKi",2018-07-14T02:08:49.000Z,https://t.co/ZdXptT1dYH,David J Harris Jr,"Texas, USA",false,393,918,71,92,-826,-322
euronewsar,"#جونسون_أند_جونسون تدفع #تعويضات بقيمة 4.7 مليار دولار لمصابات بـ #السرطان بسبب منتجاتها من بينها #بودرة_أطفال
للمزيد:https://t.co/l9mWcxkWu2 https://t.co/CUUF1A8BK7",2018-07-13T16:00:39.000Z,http://t.co/QUX276wyYg,euronews عــربي,europe,true,389,303,132,56,-247,-257
Alyssa_Milano,Jury awards $289 million after man says he got terminal cancer from Monsanto's Roundup - CNN https://t.co/63ibKCUEQm,2018-08-10T23:26:52.000Z,https://t.co/XmPG6hQLsQ,Alyssa Milano,Los Angeles,true,377,1536,17,81,-1455,-360
careygillam,"And jury says @MonsantoCo loses,,, $250 million awarded in punitive damages to Johnson for his claims Roundup caused his cancer and Monsanto knew and failed to warn. #Rounduptrial",2018-08-10T22:06:28.000Z,https://t.co/q5Rbj8j5qW,carey gillam ✍️ 📓,NA,true,374,710,94,33,-677,-280
CNN,A jury has awarded $4.62 billion to 22 women who sued pharmaceutical giant Johnson &amp; Johnson alleging their ovarian cancer was caused by using its powder https://t.co/XKpl8srxo9 https://t.co/Lu4ySDsIJV,2018-07-14T04:46:08.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,362,562,57,68,-494,-305
bigricanman,Rest In Peace PO Paul Johnson of @NYPDnews who was murdered on 9/11/01 and passed away today 7/22/18 due to cancer from working at ground zero. Please retweet to honor him #NeverForget #TheSacrificeContinues #ESUStrong #NYPD #September11 💙🙏🏼😞 https://t.co/wLxGk6vwKc,2018-07-22T18:02:47.000Z,,Angel L Maysonet🇵🇷🇺🇸👮🏻‍♂️💙🖤 ✭,New York ,false,350,619,42,67,-552,-308
ActualidadRT,Última Hora: Johnson &amp; Johnson pagará 550 millones de dólares a mujeres que contrajeron cáncer por usar su talco https://t.co/70nagN4dfE,2018-07-12T20:43:44.000Z,https://t.co/lo2KB3neoz,RT en Español,NA,true,335,170,12,11,-159,-323
SoniaBridi,É o herbicida mais vendido no Brasil.  https://t.co/vlvHpaPvJT,2018-07-25T02:53:19.000Z,,Sônia Bridi,NA,true,335,446,18,14,-432,-317
NPR,"Johnson &amp; Johnson has been ordered to pay $4.7 billion to 22 women and their families who say asbestos in the company's talcum powder contributed to their ovarian cancer.
https://t.co/VGiFxf6C0w",2018-07-13T18:05:00.000Z,https://t.co/NacrixPEkp,NPR,NA,true,309,357,74,26,-331,-235
RobertKennedyJr,"Great news gets even better! #MonsantoTrial

https://t.co/UJYByVzsKl",2018-08-13T21:02:50.000Z,https://t.co/Xi24MTmhj6,Robert F. Kennedy Jr,"Los Angles, California",true,294,626,38,22,-604,-256
CivilEats,"BREAKING: In a groundbreaking case against Monsanto, a jury has awarded $250 million in punitive damages and nearly $40 million in compensatory damages to a former school groundskeeper who said he got terminal cancer from the weedkiller Roundup.
https://t.co/463Oeuupz4",2018-08-10T23:20:41.000Z,https://t.co/j1B7jb0zYk,Civil Eats,USA,true,293,564,30,14,-550,-263
Portes_Thomas,"#Monsanto condamné à verser 289 millions de $ de dommages pour ne pas avoir informé de la dangerosité du Roundup, son herbicide à base de #glyphosate, à l’origine du cancer de D.Johnson. Une première victoire qui en appelle d’autre. Il faut une interdiction totale et immédiate. https://t.co/ylgqGMCQJc",2018-08-10T23:15:48.000Z,https://t.co/PKEAVRdkar,Thomas Portes,"Montreuil, France",false,292,430,17,11,-419,-275
profesorlupa2,"EEUU / California = Tribunal Superior de San Francisco, condenó a la empresa s Monsanto a pagar 289,2 millones US$  al jardinero Dewayne Johnson, al que le fue diagnosticado un cáncer terminal tras usar el herbicida Roundup y otros productos de esa empresa.",2018-08-11T00:14:22.000Z,,Profesor Lupa,NA,false,284,115,12,2,-113,-272
TIME,Women claimed Johnson &amp; Johnson's talc powder gave them ovarian cancer. They just won $4.7 billion in damages https://t.co/KnGrFwVtTd,2018-07-13T11:00:17.000Z,https://t.co/vl89LXOvyB,TIME,NA,true,279,284,46,14,-270,-233
WSJ,A jury found that Johnson &amp; Johnson should pay $4.69 billion in damages to 22 women and their families who blamed ovarian-cancer cases on asbestos in its iconic baby powder https://t.co/7qDItnrCwq,2018-07-12T23:47:05.000Z,https://t.co/9rMrYLEXTt,The Wall Street Journal,"New York, NY",true,277,263,45,24,-239,-232
Quicktake,Johnson &amp; Johnson was ordered to pay $4.69 billion to 22 women who claimed its baby powder was linked to their ovarian cancer https://t.co/9z8pbOJyAW #tictocnews https://t.co/wAZvxlZDw1,2018-07-13T14:02:30.000Z,https://t.co/VtjZNinDYb,Bloomberg Quicktake,NA,true,271,291,83,24,-267,-188
